original_user_id,mapped_user_id
1297658,1
6225576,2
407931,3
467101,4
498118,5
296797,6
341818,7
57308,8
158784,9
191051,10
75068,11
173759,12
172953,13
182406,14
99718,15
7546651,16
0,17
6059003,18
600252,19
175288,20
452273,21
205037,22
201116,23
228868,24
167521,25
93329,26
98272,27
82653,28
9916144,29
8470993,30
8368252,31
8067922,32
7337871,33
7280251,34
7245781,35
6831321,36
6637742,37
6514181,38
6115415,39
6213810,40
1926528,41
81660,42
2220874,43
563879,44
450345,45
522008,46
169268,47
169236,48
156302,49
43185,50
98745,51
103808,52
73987,53
254716,54
43599,55
328603,56
265274,57
227817,58
157574,59
8282338,60
7280904,61
8266554,62
472548,63
1302833,64
1392,65
234012,66
124540,67
129679,68
74463,69
91713,70
95517,71
7902280,72
1364994,73
354335,74
501342,75
422359,76
323860,77
172532,78
124561,79
80955,80
56169,81
1,82
10696388,83
6411445,84
426334,85
278796,86
177366,87
384330,88
277131,89
176054,90
93030,91
127548,92
112867,93
9707307,94
8050140,95
7954948,96
2006470,97
626482,98
539847,99
219337,100
170623,101
164497,102
158920,103
159118,104
80959,105
85498,106
57954,107
101450,108
6979357,109
1924883,110
494680,111
135243,112
415557,113
167819,114
270157,115
262048,116
217207,117
136814,118
54361,119
11229724,120
10786000,121
10194847,122
8043033,123
6015628,124
552706,125
283724,126
284732,127
264807,128
220896,129
96247,130
124981,131
98094,132
97514,133
95008,134
94646,135
97524,136
79208,137
8485896,138
7245805,139
556226,140
101001,141
10303392,142
9565335,143
9199221,144
1995930,145
6396626,146
609342,147
6142183,148
2246478,149
5879778,150
5961526,151
171321,152
2257076,153
594965,154
1956364,155
1867592,156
1853245,157
1883795,158
1468614,159
502176,160
1483376,161
3881,162
1346100,163
503480,164
180108,165
530605,166
454155,167
367884,168
406141,169
526082,170
461304,171
182117,172
381378,173
358241,174
39508,175
293287,176
288920,177
43676,178
258844,179
262398,180
246592,181
251672,182
235644,183
170382,184
232127,185
196289,186
212474,187
195483,188
188088,189
190059,190
24584,191
179414,192
170003,193
179121,194
155780,195
150413,196
144590,197
143802,198
132061,199
140619,200
140579,201
140647,202
134891,203
127639,204
127889,205
89988,206
125265,207
76033,208
120767,209
29901,210
110502,211
108763,212
96059,213
104692,214
104024,215
104045,216
22915,217
102924,218
69741,219
53805,220
59605,221
38697,222
102247,223
95070,224
30984,225
71595,226
100128,227
66060,228
84674,229
61305,230
52618,231
230641,232
204084,233
176815,234
124714,235
54083,236
77381,237
52638,238
66847,239
10138518,240
9059608,241
